,Unnamed: 0,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
73,31,75.8125434546384,26.875142773008,1.0,32,580707.1074301867,2972864.98615482,8076,8320,9045,8747,15171,11791,9625,0.2685843297934598,2.453336636934248,2.3053185965432745
74,224,75.7468351946134,26.8968760422375,4.0,225,574166.1149411293,2975232.076118492,8364,9268,11209,11979,15063,15091,13828,0.1140448191701793,2.3478227771010878,0.0009285666909862
75,38,75.778458010879,26.8443203461181,1.0,39,577342.3506574081,2969429.7478369386,8075,8344,9318,8941,16327,12482,10125,0.2923064745923686,2.282199259114829,2.1413794300392164
76,106,75.9348534061993,26.9345025457844,2.0,107,592807.7784899165,2979523.812871133,7583,7839,8362,8217,8433,8160,7936,0.0129729729729728,3.897886275677262,3.933164587476624
77,260,75.7734274255297,26.9857876474406,4.0,261,576746.7730353752,2985096.155833247,8787,9554,10844,11509,12910,13586,13367,0.057373356812318,2.671971036457007,0.0255132850241544
78,105,75.9333576548823,26.9223447722593,2.0,106,592669.2155670571,2978176.0383988526,7443,7658,8171,8039,8123,7895,7757,0.0051973765623066,0.0029458696452681,4.077163191409639
79,208,75.7495874067661,26.8964723844551,4.0,209,574439.7033252735,2975188.980464112,9120,9852,11262,11849,14318,14653,13650,0.0943554859173765,2.442533229085213,0.0115632874253563
80,103,75.9338178860568,26.9143290793043,2.0,104,592721.4641841768,2977288.504038017,7386,7664,8181,8067,8261,7901,7732,0.0118814306712395,3.981024206300913,4.032669224105902
81,272,75.8228172790915,27.0149601983583,2.0,273,581626.8253194962,2988358.463386413,8006,8403,9425,8977,8452,8272,8033,3.730047621779771,0.0544274766459693,3.9079167663238232
82,193,75.7557248398665,26.8960595526322,4.0,194,575049.4906891474,2975146.8761658086,8696,9268,9989,10483,12300,12028,11061,0.0797524469999557,2.836601013953058,2.682670174284764
83,188,75.7554037484487,26.8949678418117,3.0,189,575018.3238874845,2975025.7644497007,8451,8832,9876,9970,16009,13554,11647,0.2324569844874697,2.294881205331264,2.1337820924804585
84,219,75.7488351354443,26.8993989033775,4.0,220,574363.0778282342,2975512.689175622,8862,9804,11578,12320,14105,14494,13557,0.0675496688741719,2.4533348907837778,0.0136018741914052
85,92,75.7657402586965,26.8271051197985,3.0,93,576090.2600693335,2967515.2562599243,9003,9473,10498,10571,18805,14336,12379,0.2802968409586047,1.953008224413876,1.8426420445973208
86,34,75.7818963777537,26.8437260604854,3.0,35,577684.3819377698,2969366.0237704106,8507,8764,10075,10182,17420,14184,11759,0.2622273748279101,2.1164211674849898,1.9712694595620743
87,9,75.8545665977647,26.9521030685021,2.0,10,584823.744193054,2981416.959660671,7725,7892,8367,8170,8264,8010,7817,0.005719849093343,0.0061932535626239,4.011429273688067
88,258,75.7704253344241,26.9812446600153,4.0,259,576451.9368389894,2984591.131053444,8720,9395,10569,11186,12794,13655,12850,0.0670558798999163,2.7098831485682378,0.0325532156225186
89,273,75.8209626305185,27.0157432722003,2.0,274,581442.264602481,2988444.0025293385,8126,8545,9517,9276,9376,8797,8447,0.0053613553506326,0.0074630815646006,3.574368568755827
90,98,75.6864245392007,26.8029688781833,2.0,99,568223.0075192269,2964796.82216522,8065,8378,9443,9335,14287,12503,10771,0.2096350859368376,2.5576064053940053,2.3796939156401558
91,230,75.7472159172945,26.8943807032191,4.0,231,574205.5553828753,2974955.907497803,10792,11505,13208,13874,14547,14569,13387,0.0236796734808767,2.3129886506935606,0.0007555982964692
