,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
130,75.9064320541629,26.8946429922089,4.0,131,590017.7205217505,2975088.186458857,8979,9565,10624,11102,12831,13482,12725,0.07224334600760426,2.7000213174163177,0.024740622505985542
131,75.9083140549022,26.8972990416395,4.0,132,590202.5211978193,2975383.725112012,7869,8848,10661,11409,13886,14830,13779,0.09792449100612731,2.538436468814916,0.032873659284022735
132,75.9040643758134,26.8890728771175,4.0,133,589786.9785730278,2974469.528012879,9894,10516,12097,12939,14889,15662,14050,0.07007330746011187,2.3250574371896455,0.025301954109521702
133,75.9061285056566,26.888283651001,4.0,134,589992.6127021788,2974383.5736191035,8683,9548,11007,11664,13592,14226,13010,0.07633829585049068,2.5590877677954285,0.02279099863397792
134,75.8966085151583,26.8888932036418,4.0,135,589046.6059534196,2974444.363256903,9561,10163,11254,11471,14512,14812,13769,0.11703806334911245,2.417061243499176,0.01023052789523936
135,75.8986436653117,26.887766602664,4.0,136,589249.6218204116,2974321.006965542,9067,9683,10790,11303,14072,13696,12610,0.10912315270935918,2.50398198053253,2.346585998271383
136,75.8968992508945,26.8864219498841,4.0,137,589077.4197388667,2974170.8379830853,8851,9787,10831,11626,14722,15425,13833,0.11750417488993428,2.41243689586349,0.023319069890868002
137,75.891811375511,26.888402587087,4.0,138,588570.5380130336,2974386.6566414037,8837,9606,10842,11933,13916,14035,12869,0.07671476652868554,2.522901688343152,0.004257450538442259
138,75.8974080384329,26.8958345193436,4.0,139,589120.5669775415,2975213.784505852,8521,9423,10738,11606,13935,14625,13138,0.09118671939234921,2.5266080330725793,0.024159663865546136
139,75.8964994892572,26.8943263277121,3.0,140,589031.518130283,2975046.0896775858,9126,9355,9900,10542,13643,16400,14008,0.12821997105643942,2.624686743405672,0.09176846519987987
